pedido_id,data_pedido,categoria,produto,quantidade,preco_unitario,receita
1,2024-01-01,Roupas,Luminária,1,714.22,714.22
2,2024-01-01,Roupas,Notebook,2,332.45,664.9
3,2024-01-01,Roupas,Batom,3,757.8,2273.4
4,2024-01-01,Esportes,Calça Jeans,4,475.67,1902.68
5,2024-01-02,Roupas,Fone Bluetooth,5,297.77,1488.85
6,2024-01-05,Beleza,Batom,5,341.75,1708.75
7,2024-01-05,Esportes,Calça Jeans,5,685.62,3428.1
8,2024-01-05,Eletrônicos,Batom,1,553.82,553.82
9,2024-01-06,Eletrônicos,Camiseta,4,421.41,1685.64
10,2024-01-06,Casa,Calça Jeans,3,171.41,514.23
11,2024-01-06,Casa,Tênis de Corrida,4,137.1,548.4
12,2024-01-07,Eletrônicos,Luminária,5,320.56,1602.8
13,2024-01-08,Roupas,Fone Bluetooth,2,561.56,1123.12
14,2024-01-08,Roupas,Perfume,4,167.25,669.0
15,2024-01-09,Esportes,Jogo de Panelas,4,394.49,1577.96
16,2024-01-09,Roupas,Jogo de Panelas,3,308.56,925.68
17,2024-01-10,Beleza,Bola de Futebol,1,257.52,257.52
18,2024-01-11,Roupas,Jogo de Panelas,3,53.57,160.71
19,2024-01-11,Casa,Perfume,5,737.59,3687.95
20,2024-01-12,Casa,Luminária,3,703.21,2109.63
21,2024-01-12,Eletrônicos,Batom,1,350.57,350.57
22,2024-01-13,Roupas,Calça Jeans,2,187.21,374.42
23,2024-01-13,Roupas,Bola de Futebol,5,238.76,1193.8
24,2024-01-15,Beleza,Fone Bluetooth,2,379.09,758.18
25,2024-01-16,Eletrônicos,Fone Bluetooth,2,536.23,1072.46
26,2024-01-17,Roupas,Notebook,5,59.37,296.85
27,2024-01-18,Eletrônicos,Bola de Futebol,4,359.43,1437.72
28,2024-01-19,Eletrônicos,Camiseta,5,540.46,2702.3
29,2024-01-20,Esportes,Tênis de Corrida,5,388.74,1943.7
30,2024-01-21,Roupas,Notebook,4,596.01,2384.04
31,2024-01-22,Esportes,Jogo de Panelas,1,173.38,173.38
32,2024-01-22,Beleza,Tênis de Corrida,3,60.19,180.57
33,2024-01-22,Esportes,Fone Bluetooth,4,607.93,2431.72
